CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
424,Fullcarga,EL RINCON DEL GUSTO,TAMARUGOS 3554,RENCA,,334307,6288070,-70.7849931653655,-33.5344277734798
9878,Fullcarga,ERICHOPER,ARTURO PRAT 5725 DPTO 11,RENCA,,349062,6305684,-70.62318232,-33.37779948
67259,Fullcarga,KAREN,JOSE MIGUEL INFANTE 5650,RENCA,,346683,6287332,-70.651307117117,-33.5425198198198
69771,Fullcarga,SAN RICARDO,RAUL OLIVARES 1872,RENCA,,347465,6282502,-70.643728,-33.586301
89661,Fullcarga,LUIS RAMIREZ RABIE CERRIL,CHILLAN 1247,RENCA,,338756,6290845,-70.7367877,-33.50997063
89665,Fullcarga,BAZAR FREDDY,BALMACEDA 4804,RENCA,,342219,6302176,-70.69752546,-33.4083333
91449,Fullcarga,SR DE MURUHUAY,JOSE MIGUEL INFANTE 4675,RENCA,,345997,6300292,-70.657049,-33.4259786666667
92583,Fullcarga,LA BUENA CARNE,COYHAIQUE 1783,RENCA,,348393,6302881,-70.63103636,-33.40287041
92647,Fullcarga,BOTILLERIA SAN ESTEBAN,ZEUS 1190,RENCA,,346625,6304883,-70.64969712,-33.38456171
92651,Fullcarga,LEAL,PJE. LAGUNAS 935,RENCA,,345458,6289213,-70.66417614097969,-33.52538531302271
92653,Fullcarga,EL TREBOL,BRASIL 998,RENCA,,347420,6299788,-70.6418728192041,-33.4305998904279
92659,Fullcarga,CASSETERIA CENTER,SALAR 6572,RENCA,,345856,6290150,-70.65973021161378,-33.51699489417991
92693,Fullcarga,ROSA FARIAS,VENECIA 4811,RENCA,,346268,6301996,-70.65402616,-33.41054545
92707,Fullcarga,EL ESFUERZO,PAN 6889,RENCA,,340234,6302801,-70.71875411,-33.40240328
92711,Fullcarga,EL CHAMACO,CHORRILLOS 1272,RENCA,,338135,6301921,-70.74146469,-33.41002199
92721,Fullcarga,LAS MILBES,PJE. HERCULES 941,RENCA,,347060,6300451,-70.64577791,-33.42468526
93253,Fullcarga,EL CISNE,MANUEL RODRIGUEZ 1708,RENCA,,344542,6284694,-70.67483386739863,-33.56611016187268
94410,Fullcarga,JORGE ORTIZ,PJE. ARES 999,RENCA,,346941,6298790,-70.64657125,-33.4392561944444
